base_trace_idx,k,word_just_added,accuracy,n_correct,n_total
0,0,(none),0.0200,2,100
0,1,1),0.0100,1,100
0,2,The,0.0400,4,100
0,3,distance,0.0300,3,100
0,4,between,0.0400,4,100
0,5,two,0.0100,1,100
0,6,consecutive,0.0100,1,100
0,7,crests,0.0000,0,100
0,8,is,0.0000,0,100
0,9,the,0.0000,0,100
0,10,wavelength.,0.0000,0,100
0,11,2),0.0000,0,100
0,12,The,0.0000,0,100
0,13,wavelength,0.0000,0,100
0,14,is,0.0000,0,100
0,15,equal,0.0000,0,100
0,16,to,0.0000,0,100
0,17,the,0.0100,1,100
0,18,speed,0.0000,0,100
0,19,divided,0.0000,0,100
0,20,by,0.0000,0,100
0,21,the,0.0000,0,100
0,22,frequency.,0.0000,0,100
0,23,3),0.0000,0,100
0,24,The,0.0000,0,100
0,25,distance,0.0000,0,100
0,26,between,0.0200,2,100
0,27,5,0.0000,0,100
0,28,consecutive,0.0000,0,100
0,29,crests,0.0000,0,100
0,30,is,0.0000,0,100
0,31,4,0.0000,0,100
0,32,times,0.0000,0,100
0,33,the,0.0000,0,100
0,34,wavelength.,0.0100,1,100
0,35,4),0.0900,9,100
0,36,The,0.0100,1,100
0,37,wavelength,0.0000,0,100
0,38,is,0.0000,0,100
0,39,40,0.0000,0,100
0,40,m/s,0.0000,0,100
0,41,divided,0.0000,0,100
0,42,by,0.0000,0,100
0,43,5,0.0000,0,100
0,44,Hz,0.0000,0,100
0,45,=,0.0000,0,100
0,46,8,0.0000,0,100
0,47,m.,0.0000,0,100
0,48,5),0.0200,2,100
0,49,The,0.0000,0,100
0,50,distance,0.0000,0,100
0,51,between,0.0000,0,100
0,52,5,0.0000,0,100
0,53,consecutive,0.0000,0,100
0,54,crests,0.0000,0,100
0,55,is,0.0000,0,100
0,56,4,0.0000,0,100
0,57,times,0.0000,0,100
0,58,8,0.0000,0,100
0,59,m,0.0000,0,100
0,60,=,0.0000,0,100
0,61,32,0.0000,0,100
0,62,m.,0.0000,0,100
0,63,So,0.0000,0,100
0,64,the,0.0000,0,100
0,65,final,0.0000,0,100
0,66,answer,0.0100,1,100
0,67,is,0.0000,0,100
0,68,32.,0.0000,0,100
