k,word_just_added,accuracy,n_correct,n_total
0,(none),0.0200,2,100
1,1),0.0100,1,100
2,The,0.0400,4,100
3,distance,0.0300,3,100
4,between,0.0400,4,100
5,two,0.0100,1,100
6,consecutive,0.0100,1,100
7,crests,0.0000,0,100
8,is,0.0000,0,100
9,the,0.0000,0,100
10,wavelength.,0.0000,0,100
11,2),0.0000,0,100
12,The,0.0000,0,100
13,wavelength,0.0000,0,100
14,is,0.0000,0,100
15,equal,0.0000,0,100
16,to,0.0000,0,100
17,the,0.0100,1,100
18,speed,0.0000,0,100
19,divided,0.0000,0,100
20,by,0.0000,0,100
21,the,0.0000,0,100
22,frequency.,0.0000,0,100
23,3),0.0000,0,100
24,The,0.0000,0,100
25,distance,0.0000,0,100
26,between,0.0200,2,100
27,5,0.0000,0,100
28,consecutive,0.0000,0,100
29,crests,0.0000,0,100
30,is,0.0000,0,100
31,4,0.0000,0,100
32,times,0.0000,0,100
33,the,0.0000,0,100
34,wavelength.,0.0100,1,100
35,4),0.0900,9,100
36,The,0.0100,1,100
37,wavelength,0.0000,0,100
38,is,0.0000,0,100
39,40,0.0000,0,100
40,m/s,0.0000,0,100
41,divided,0.0000,0,100
42,by,0.0000,0,100
43,5,0.0000,0,100
44,Hz,0.0000,0,100
45,=,0.0000,0,100
46,8,0.0000,0,100
47,m.,0.0000,0,100
48,5),0.0200,2,100
49,The,0.0000,0,100
50,distance,0.0000,0,100
51,between,0.0000,0,100
52,5,0.0000,0,100
53,consecutive,0.0000,0,100
54,crests,0.0000,0,100
55,is,0.0000,0,100
56,4,0.0000,0,100
57,times,0.0000,0,100
58,8,0.0000,0,100
59,m,0.0000,0,100
60,=,0.0000,0,100
61,32,0.0000,0,100
62,m.,0.0000,0,100
63,So,0.0000,0,100
64,the,0.0000,0,100
65,final,0.0000,0,100
66,answer,0.0100,1,100
67,is,0.0000,0,100
68,32.,0.0000,0,100
