base_trace_idx,k,word_just_added,accuracy,n_correct,n_total
0,0,(none),0.0900,9,100
0,1,1.024e+03,0.0000,0,100
0,2,=,0.0000,0,100
0,3,V^2,0.0000,0,100
0,4,/,0.0000,0,100
0,5,4.,0.0000,0,100
0,6,So,0.0000,0,100
0,7,V^2,0.0000,0,100
0,8,=,0.0400,4,100
0,9,4.096e+03.,0.0000,0,100
0,10,V,0.0000,0,100
0,11,=,0.0000,0,100
0,12,64.,0.0000,0,100
0,13,1.024e+03,0.0000,0,100
0,14,=,0.0000,0,100
0,15,I^2,0.0000,0,100
0,16,*,0.0100,1,100
0,17,4.,0.0000,0,100
0,18,So,0.0000,0,100
0,19,I^2,0.0000,0,100
0,20,=,0.0000,0,100
0,21,2.56e+02.,0.0000,0,100
0,22,I,0.0000,0,100
0,23,=,0.0000,0,100
0,24,16.,0.0000,0,100
0,25,16,0.0000,0,100
0,26,=,0.0000,0,100
0,27,Q,0.0000,0,100
0,28,/,0.0000,0,100
0,29,24.,0.0000,0,100
0,30,So,0.0000,0,100
0,31,Q,0.0000,0,100
0,32,=,0.0000,0,100
0,33,384.,0.0000,0,100
