k,word_just_added,accuracy,n_correct,n_total
0,(none),0.0900,9,100
1,1.024e+03,0.0000,0,100
2,=,0.0000,0,100
3,V^2,0.0000,0,100
4,/,0.0000,0,100
5,4.,0.0000,0,100
6,So,0.0000,0,100
7,V^2,0.0000,0,100
8,=,0.0400,4,100
9,4.096e+03.,0.0000,0,100
10,V,0.0000,0,100
11,=,0.0000,0,100
12,64.,0.0000,0,100
13,1.024e+03,0.0000,0,100
14,=,0.0000,0,100
15,I^2,0.0000,0,100
16,*,0.0100,1,100
17,4.,0.0000,0,100
18,So,0.0000,0,100
19,I^2,0.0000,0,100
20,=,0.0000,0,100
21,2.56e+02.,0.0000,0,100
22,I,0.0000,0,100
23,=,0.0000,0,100
24,16.,0.0000,0,100
25,16,0.0000,0,100
26,=,0.0000,0,100
27,Q,0.0000,0,100
28,/,0.0000,0,100
29,24.,0.0000,0,100
30,So,0.0000,0,100
31,Q,0.0000,0,100
32,=,0.0000,0,100
33,384.,0.0000,0,100
