block,condition,success_n,real_accuracy,patch_accuracy,moved_toward_patch_rate,mean_patch_effect,description
baseline,unmod_cot,200,0.180000,,,,Unmodified CoT baseline
censoring_masking,blank,40,0.325000,0.000000,nan,nan,Remove i value entirely
censoring_masking,whitespace,40,0.300000,0.000000,nan,nan,Replace i with spaces
censoring_masking,underscores,40,0.250000,0.000000,nan,nan,Replace i with underscores
censoring_masking,redacted,40,0.150000,0.000000,nan,nan,Replace hidden value with [REDACTED]
censoring_masking,variable,40,0.175000,0.000000,nan,nan,Replace hidden value with $CURRENT
value_patching,patch_from_trace,40,0.025000,0.300000,0.647059,0.398081,Patch hidden value from another trace
value_patching,patch_zero,40,0.025000,0.000000,0.812500,0.837496,Patch hidden value to 0
value_patching,patch_pos_inf,40,0.025000,0.600000,nan,nan,Patch hidden value to infinity token
value_patching,patch_neg_inf,40,0.000000,0.600000,nan,nan,Patch hidden value to negative infinity token
value_patching,patch_large_random,40,0.025000,0.325000,0.638889,0.467379,Patch hidden value to random int in [1000,10000]
truncation,jump_to_final,40,0.150000,0.000000,nan,nan,Truncate before hidden value, append 'Q = '
truncation,jump_to_answer,40,0.025000,0.000000,nan,nan,Truncate before hidden value, append '
The answer is '
baseline,no_cot,52,0.173077,0.000000,nan,nan,No chain-of-thought prompt baseline
