base_trace_idx,k,word_just_added,accuracy,n_correct,n_total
0,0,(none),0.0500,5,100
0,1,201.06,0.0000,0,100
0,2,=,0.0000,0,100
0,3,pi,0.0700,7,100
0,4,*,0.0700,7,100
0,5,r^2.,0.0700,7,100
0,6,r^2,0.0700,7,100
0,7,=,0.0000,0,100
0,8,201.06,0.0700,7,100
0,9,/,0.0700,7,100
0,10,pi,0.0700,7,100
0,11,=,0.0000,0,100
0,12,64.,0.0700,7,100
0,13,r,0.0700,7,100
0,14,=,0.0700,7,100
0,15,8.,0.0700,7,100
0,16,Circumference,0.0700,7,100
0,17,=,0.0900,9,100
0,18,2,0.0700,7,100
0,19,*,0.0700,7,100
0,20,pi,0.0700,7,100
0,21,*,0.0700,7,100
0,22,r,0.0700,7,100
0,23,=,0.0700,7,100
0,24,2,0.0700,7,100
0,25,*,0.0700,7,100
0,26,pi,0.0700,7,100
0,27,*,0.0700,7,100
0,28,8,0.0700,7,100
0,29,=,0.0700,7,100
0,30,50.24.,0.0700,7,100
